post_id,brand,date,content,word_count,post_length,hashtags,post_type
1,Coke,2024-11-01,"Sharing new year joy in Hanoi!",6,6,"#newyear #hanoi",Storytelling
2,Pepsi,2024-11-02,"Bringing you freshness daily",4,4,"#pepsi #fresh",Promo
3,Fanta,2024-11-02,"Bursting with fruity fun",4,4,"#fanta #fun",Storytelling
4,Coke,2024-12-01,"A toast to the festive season ðŸ¥‚",7,7,"#festive #toast",Storytelling
5,Pepsi,2024-12-20,"Refresh your day",3,3,"#refresh",Promo
6,Fanta,2025-01-10,"Taste the colorful side of life",6,6,"#taste #colorful",Storytelling
7,Coke,2025-01-20,"Lunar New Year starts with Coca-Cola",7,7,"#tet #cocacola",Storytelling
8,Pepsi,2025-02-14,"Pepsi and love for Valentineâ€™s Day",7,7,"#valentine #pepsi",UGC
9,Fanta,2025-03-02,"Summer flavors are here!",5,5,"#summer",Promo
10,Coke,2025-03-20,"Taste the feeling â€“ anytime, anywhere",6,6,"#taste #feeling",Storytelling
